"FullDate","CustomerID","EmployeeID","ProductID","UnitsSold","DollarSold"
"2014-01-01 05:00:00","61","3","BK-T18Y-62","3","2227.0500"
"2014-01-01 05:00:00","61","3","BK-T18Y-62","3","2227.0500"
"2014-01-01 05:00:00","61","3","BK-M68B-38","1","2294.9899"
"2014-01-01 05:00:00","64","6","BK-T44U-50","7","8503.9500"
"2014-01-01 05:00:00","64","6","FD-2342","2","182.9800"
"2014-01-01 05:00:00","64","6","FD-2342","2","182.9800"
"2014-01-01 05:00:00","64","6","HL-U509","8","279.9200"
"2014-01-01 05:00:00","55","8","BK-T44U-60","9","10933.6500"
"2014-01-01 05:00:00","55","8","SE-M798","4","156.5600"
"2014-01-01 05:00:00","55","8","SE-M798","4","156.5600"
"2014-01-01 05:00:00","55","8","BK-M38S-40","1","769.4900"
"2014-01-01 05:00:00","58","8","BK-T18U-58","9","6681.1500"
"2014-01-01 05:00:00","58","8","FR-M94B-38","6","8097.6000"
"2014-01-01 05:00:00","58","8","BK-M18S-52","1","564.9900"
"2014-01-01 05:00:00","14","5","BK-R89B-48","5","12216.7500"
"2014-01-01 05:00:00","14","5","BK-R89B-48","5","12216.7500"
"2014-01-01 05:00:00","14","5","SE-M236","2","54.2400"
"2014-01-01 05:00:00","76","4","BK-M18B-52","4","2159.9600"
"2014-01-01 05:00:00","76","4","WB-H098","1","4.9900"
"2014-01-01 06:00:00","38","7","FR-T67U-54","8","2667.3600"
"2014-01-01 06:00:00","38","7","BK-R79Y-42","5","8504.9500"
"2014-01-01 06:00:00","38","7","BK-R79Y-42","5","8504.9500"
"2014-01-01 06:00:00","38","7","BK-R64Y-40","2","2240.9800"
"2014-01-01 06:00:00","20","3","HB-R956","3","360.8100"
"2014-01-01 06:00:00","20","3","PD-M340","1","62.0900"
"2014-01-01 06:00:00","20","3","FR-T98U-50","4","4015.6400"
"2014-01-01 06:00:00","4","2","FR-T67Y-62","9","3000.7800"
"2014-01-01 06:00:00","4","2","FR-T67Y-62","9","3000.7800"
"2014-01-01 06:00:00","14","8","BK-R89B-48","9","21990.1500"
"2014-01-01 06:00:00","14","8","SE-M798","6","234.8400"
"2014-01-01 06:00:00","14","8","CL-9009","1","7.9500"
"2014-01-01 06:00:00","14","8","CL-9009","1","7.9500"
"2014-01-01 06:00:00","35","4","BK-T79U-54","1","2384.0700"
"2014-01-01 06:00:00","35","4","BK-T79U-54","1","2384.0700"
"2014-01-01 06:00:00","35","4","BK-R89R-58","8","19546.8000"
"2014-01-01 06:00:00","32","4","FR-T67Y-62","5","1667.1000"
"2014-01-01 06:00:00","32","4","BK-T18Y-54","2","1484.7000"
"2014-01-01 06:00:00","32","4","PD-M282","5","202.4500"
"2014-01-01 06:00:00","32","4","PD-M282","5","202.4500"
"2014-01-01 06:00:00","58","3","BK-T18U-62","4","2969.4000"
"2014-01-01 06:00:00","58","3","FR-M21B-42","7","1748.5300"
"2014-01-01 06:00:00","58","3","BK-M18S-52","5","2824.9500"
"2014-01-01 06:00:00","58","3","BK-M18S-52","5","2824.9500"
"2014-01-01 06:00:00","26","6","SH-W890-L","6","419.9400"
"2014-01-01 06:00:00","26","6","CH-0234","4","80.9596"
"2014-01-01 06:00:00","26","6","LJ-0192-X","1","49.9900"
"2014-01-01 06:00:00","26","6","BK-M38S-38","4","3077.9600"
"2014-01-01 06:00:00","56","3","BK-T79Y-50","3","7152.2100"
"2014-01-01 06:00:00","56","3","FR-R38B-52","1","337.2200"
"2014-01-01 07:00:00","23","6","GL-H102-L","7","171.4293"
"2014-01-01 07:00:00","23","6","GL-H102-L","7","171.4293"
"2014-01-01 07:00:00","23","2","GL-H102-M","2","48.9798"
"2014-01-01 07:00:00","23","2","BK-M68S-42","6","13919.9394"
"2014-01-01 07:00:00","23","2","FR-T67Y-44","3","1000.2600"
"2014-01-01 07:00:00","29","5","CL-9009","5","39.7500"
"2014-01-01 07:00:00","29","5","BK-R64Y-44","9","10084.4100"
"2014-01-01 07:00:00","45","5","FR-M21S-44","6","1584.3000"
"2014-01-01 07:00:00","45","5","FR-M21S-44","6","1584.3000"
"2014-01-01 07:00:00","45","5","BK-M18S-44","3","1694.9700"
"2014-01-01 07:00:00","75","7","BK-M18B-44","8","4319.9200"
"2014-01-01 07:00:00","75","7","SH-W890-S","5","349.9500"
"2014-01-01 07:00:00","65","1","BK-R79Y-40","1","1700.9900"
"2014-01-01 07:00:00","65","1","BK-R64Y-38","7","7843.4300"
"2014-01-01 07:00:00","65","1","SE-T924","4","210.5600"
"2014-01-01 07:00:00","65","1","SJ-0194-L","8","431.9200"
"2014-01-01 07:00:00","38","3","SH-W890-M","6","419.9400"
"2014-01-01 07:00:00","38","3","SH-W890-M","6","419.9400"
"2014-01-01 07:00:00","38","3","CS-4759","4","701.9600"
